playlist_name,track_name,artist,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,url,cover
Your Top Songs 2019,More Than Words (feat. Kamille),"Little Mix, KAMILLE",198840,9,0,4,0.143,0.619,0.565,0.0,0.109,-5.706,0.0602,0.336,134.515,https://open.spotify.com/track/7KfHeaOXXwaUZAYHIRgWIi,https://i.scdn.co/image/ab67616d0000b27315174e2b2347b5ffbea6dbf0
Your Top Songs 2019,Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",215760,3,0,4,0.374,0.747,0.834,0.0,0.0586,-2.867,0.045,0.687,128.005,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,https://i.scdn.co/image/ab67616d0000b2738c5e26c45a7703cf16f509f7
Your Top Songs 2019,There for You,"Martin Garrix, Troye Sivan",221904,6,0,4,0.124,0.611,0.644,0.0,0.124,-7.607,0.0553,0.13,105.969,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y,https://i.scdn.co/image/ab67616d0000b27372c57da7edfe8e915182cdd4
Your Top Songs 2019,Break the World,Nine Lashes,182173,0,0,4,0.003,0.588,0.878,0.0,0.22,-6.208,0.0433,0.725,110.046,https://open.spotify.com/track/4byZwSMRgsgiBC0zvKsxtb,https://i.scdn.co/image/ab67616d0000b2733c63c29f09f27778d13963a9
Your Top Songs 2019,Ring Ring (feat. Mabel & Rich The Kid),"Jax Jones, Mabel, Rich The Kid",217613,1,0,4,0.172,0.779,0.641,2.03e-06,0.102,-4.912,0.141,0.638,107.032,https://open.spotify.com/track/3pSfoP1xZllxEuZ6Oh6ebn,https://i.scdn.co/image/ab67616d0000b273ade9e64aca91fd5b38ed512d
Your Top Songs 2019,Summer Balkania,SkennyBeatz,226304,5,0,4,0.00195,0.799,0.895,0.875,0.725,-5.092,0.0357,0.765,124.99,https://open.spotify.com/track/0jkvmFxOuaNU1DGqRvUjx4,https://i.scdn.co/image/ab67616d0000b273448dc6634196b5f74000ecfe
Your Top Songs 2019,New Rules,Dua Lipa,209320,9,0,4,0.00261,0.762,0.7,1.56e-05,0.153,-6.021,0.0694,0.608,116.073,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc
Your Top Songs 2019,Don't Leave Me Alone (feat. Anne-Marie) - R3HAB Remix,"David Guetta, Anne-Marie, R3HAB",182461,4,0,4,0.254,0.618,0.949,2.99e-06,0.488,-2.697,0.0903,0.293,127.961,https://open.spotify.com/track/7fGn1cjdKNcXtwnPoiiGsN,https://i.scdn.co/image/ab67616d0000b273f50b4f507f897c1a33f2579c
Your Top Songs 2019,Pieces,Red,358373,8,0,4,0.344,0.283,0.354,0.000245,0.0758,-11.552,0.0288,0.0644,93.02,https://open.spotify.com/track/7C0yPWHEwTPQ4xqOz96Aro,https://i.scdn.co/image/ab67616d0000b2739bb59162c120bc6396d6900f
Your Top Songs 2019,Like A Bomba - Remix,"SkennyBeatz, Denorecords, MC Xhedo, Tony T",270862,11,0,4,0.00923,0.873,0.705,0.000666,0.0924,-6.654,0.134,0.419,104.989,https://open.spotify.com/track/1jnmMQSJaF9v1Bezo9u3aM,https://i.scdn.co/image/ab67616d0000b273ede15fc87ae6b5a6a56e66c9
Your Top Songs 2019,Write It Down,Nine Lashes,169293,6,1,4,8.11e-05,0.505,0.974,0.0,0.0565,-2.956,0.0783,0.512,95.982,https://open.spotify.com/track/3fNP3Bo2WgK1CJQ1BFEqLp,https://i.scdn.co/image/ab67616d0000b273a6d7d1c3f71063f9a873ebdd
Your Top Songs 2019,I Like It,"Cardi B, Bad Bunny, J Balvin",253390,5,0,4,0.099,0.816,0.726,0.0,0.372,-3.998,0.129,0.65,136.048,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab
Your Top Songs 2019,Shrike,Hozier,298880,7,0,3,0.494,0.506,0.275,0.00377,0.101,-8.464,0.0292,0.0639,153.769,https://open.spotify.com/track/3ieUtb4ecQgEYxae8dzEUi,https://i.scdn.co/image/ab67616d0000b273299e8e9983e2b0455e5e8505
Your Top Songs 2019,Scared to Be Lonely,"Martin Garrix, Dua Lipa",220883,1,0,4,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,0.195,137.972,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,https://i.scdn.co/image/ab67616d0000b27364f8a309aa3c0a66a31fc374
Your Top Songs 2019,Thunder,Imagine Dragons,187147,0,1,4,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,0.288,167.997,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
Your Top Songs 2019,The Mountain,Ed Prosek,212500,0,1,4,0.251,0.582,0.519,1.07e-06,0.144,-6.095,0.0343,0.208,130.934,https://open.spotify.com/track/4VR3rTlDwB1tB8f0Q2R07e,https://i.scdn.co/image/ab67616d0000b2737d3bad4fa53b882660b9830a
Your Top Songs 2019,Not Alike (feat. Royce Da 5'9),"Eminem, Royce Da 5'9""",288087,10,1,4,0.0692,0.904,0.756,0.0,0.339,-3.746,0.32,0.342,140.005,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU,https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73
Your Top Songs 2019,The Search,NF,248053,2,1,4,0.598,0.789,0.789,0.0,0.099,-4.813,0.298,0.37,119.95,https://open.spotify.com/track/3oLe5ZILASG8vU5dxIMfLY,https://i.scdn.co/image/ab67616d0000b273942a0c9ac8f1def7c8805044
Your Top Songs 2019,Still Alive,Red,199933,7,1,4,4.34e-05,0.421,0.851,0.00149,0.324,-5.789,0.153,0.334,142.109,https://open.spotify.com/track/0LDdkg2kTBr2b0IPzZHkw3,https://i.scdn.co/image/ab67616d0000b273c570484911bf6159ca884520
Your Top Songs 2019,Turkish & Albania,SkennyBeatz,234884,9,0,4,0.459,0.582,0.75,0.105,0.0629,-4.211,0.0311,0.609,145.922,https://open.spotify.com/track/1jideRRUKM2byNvCUhapIM,https://i.scdn.co/image/ab67616d0000b273e2175ff6ce09784e7c1ff828
Your Top Songs 2019,SAD!,XXXTENTACION,166606,8,1,4,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,0.473,75.023,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
Your Top Songs 2019,X,"Nicky Jam, J Balvin",173628,9,0,4,0.0364,0.595,0.773,0.00108,0.334,-4.736,0.0549,0.711,180.073,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA,https://i.scdn.co/image/ab67616d0000b27326ddcc42228a649e5fbe4350
